operation,n_runs,final_train_acc_mean,final_train_acc_min,final_train_acc_max,max_train_acc_best_over_runs,max_train_acc_mean_over_runs
add_or_sub,40,0.9177192419767379,0.817176878452301,0.9960000514984131,0.9960000514984131,0.9178522735834121
add_or_mul,1,0.8739370703697205,0.8739370703697205,0.8739370703697205,0.8739370703697205,0.8739370703697205
add_or_add_1,4,0.8694196343421936,0.8590561151504517,0.8728741407394409,0.8728741407394409,0.8714923411607742
add_or_add2,1,0.817176878452301,0.817176878452301,0.817176878452301,0.817176878452301,0.817176878452301
sub_or_add,1,0.8131377100944519,0.8131377100944519,0.8131377100944519,0.8131377100944519,0.8131377100944519
div_or_sub,3,0.7553145885467529,0.7553145885467529,0.7553145885467529,0.7555271983146667,0.7555271983146667
