collection_folder,relative_path,filename,operation,p,train_frac,max_train_samples,input_format,weight_decay,lr,d_model,num_layers,branch_metric,branch_label_1,branch_label_2,final_train_acc,max_train_acc,min_train_acc,last_logged_epoch,n_log_points,memo_epoch,grok_epoch,grok_gap,elapsed_sec,config_id,config_changes_vs_default,is_default_like_run,notes
!add_or_sub_train_samples_wd,!add_or_sub_train_samples_wd/add_or_sub_p97_wd0.0_lr0.001_d128_l2_tf0.5_n2000_ep20000.json,add_or_sub_p97_wd0.0_lr0.001_d128_l2_tf0.5_n2000_ep20000.json,add_or_sub,97,0.5,2000,a_op_b_eq,0.0,0.001,128,2,,,,0.9195000529289246,0.9195000529289246,0.7155000567436218,20000,400,,,,156.7,add_or_sub__p97__wd0.0__lr0.001__d128__l2__tf0.5__n2000__fmta_op_b_eq,wd=0.0; max_train_samples=2000,no,sample-capped run
!add_or_sub_train_samples_wd,!add_or_sub_train_samples_wd/add_or_sub_p97_wd0.001_lr0.001_d128_l2_tf0.5_n3000_ep20000.json,add_or_sub_p97_wd0.001_lr0.001_d128_l2_tf0.5_n3000_ep20000.json,add_or_sub,97,0.5,3000,a_op_b_eq,0.001,0.001,128,2,,,,0.8826666474342346,0.8830000162124634,0.47833332419395447,20000,400,,,,227.1,add_or_sub__p97__wd0.001__lr0.001__d128__l2__tf0.5__n3000__fmta_op_b_eq,wd=0.001; max_train_samples=3000,no,sample-capped run
!add_or_sub_train_samples_wd,!add_or_sub_train_samples_wd/add_or_sub_p97_wd0.0001_lr0.001_d128_l2_tf0.5_n3000_ep20000.json,add_or_sub_p97_wd0.0001_lr0.001_d128_l2_tf0.5_n3000_ep20000.json,add_or_sub,97,0.5,3000,a_op_b_eq,0.0001,0.001,128,2,,,,0.8826666474342346,0.8826666474342346,0.4753333330154419,20000,400,,,,227.1,add_or_sub__p97__wd0.0001__lr0.001__d128__l2__tf0.5__n3000__fmta_op_b_eq,wd=0.0001; max_train_samples=3000,no,sample-capped run
!add_or_sub_train_samples_wd,!add_or_sub_train_samples_wd/add_or_sub_p97_wd0.01_lr0.001_d128_l2_tf0.5_n3000_ep20000.json,add_or_sub_p97_wd0.01_lr0.001_d128_l2_tf0.5_n3000_ep20000.json,add_or_sub,97,0.5,3000,a_op_b_eq,0.01,0.001,128,2,,,,0.8826666474342346,0.8826666474342346,0.47866666316986084,20000,400,,,,227.1,add_or_sub__p97__wd0.01__lr0.001__d128__l2__tf0.5__n3000__fmta_op_b_eq,wd=0.01; max_train_samples=3000,no,sample-capped run
!add_or_sub_train_samples_wd,!add_or_sub_train_samples_wd/add_or_sub_p97_wd0.0_lr0.001_d128_l2_tf0.5_n3000_ep20000.json,add_or_sub_p97_wd0.0_lr0.001_d128_l2_tf0.5_n3000_ep20000.json,add_or_sub,97,0.5,3000,a_op_b_eq,0.0,0.001,128,2,,,,0.8826666474342346,0.8826666474342346,0.48133331537246704,20000,400,,,,227.7,add_or_sub__p97__wd0.0__lr0.001__d128__l2__tf0.5__n3000__fmta_op_b_eq,wd=0.0; max_train_samples=3000,no,sample-capped run
!add_or_sub_train_samples_wd,!add_or_sub_train_samples_wd/add_or_sub_p97_wd0.1_lr0.001_d128_l2_tf0.5_n3000_ep20000.json,add_or_sub_p97_wd0.1_lr0.001_d128_l2_tf0.5_n3000_ep20000.json,add_or_sub,97,0.5,3000,a_op_b_eq,0.1,0.001,128,2,,,,0.8826666474342346,0.8826666474342346,0.46799999475479126,20000,400,,,,226.9,add_or_sub__p97__wd0.1__lr0.001__d128__l2__tf0.5__n3000__fmta_op_b_eq,wd=0.1; max_train_samples=3000,no,sample-capped run
!add_or_sub_train_samples_wd,!add_or_sub_train_samples_wd/add_or_sub_p97_wd1.0_lr0.001_d128_l2_tf0.5_n3000_ep20000.json,add_or_sub_p97_wd1.0_lr0.001_d128_l2_tf0.5_n3000_ep20000.json,add_or_sub,97,0.5,3000,a_op_b_eq,1.0,0.001,128,2,,,,0.8826666474342346,0.8826666474342346,0.03399999812245369,20000,400,,,,228.6,add_or_sub__p97__wd1.0__lr0.001__d128__l2__tf0.5__n3000__fmta_op_b_eq,max_train_samples=3000,no,sample-capped run
add2_add_and_mul,add2_add_and_mul/add_or_mul_p97_wd1.0_lr0.001_d128_l2_tf0.5_ep1000.json,add_or_mul_p97_wd1.0_lr0.001_d128_l2_tf0.5_ep1000.json,add_or_mul,97,0.5,,a_op_b_eq,1.0,0.001,128,2,,,,0.8739370703697205,0.8739370703697205,0.3131377398967743,1000,20,,,,21.0,add_or_mul__p97__wd1.0__lr0.001__d128__l2__tf0.5__nfull__fmta_op_b_eq,default-like,yes,
interesting_generalization_of_close,interesting_generalization_of_close/add_or_add_1_p97_wd0.1_lr0.001_d128_l2_tf0.5_ep5000.json,add_or_add_1_p97_wd0.1_lr0.001_d128_l2_tf0.5_ep5000.json,add_or_add_1,97,0.5,,a_op_b_eq,0.1,0.001,128,2,b_parity,odd,even,0.8728741407394409,0.8728741407394409,0.36054420471191406,5000,100,,,,100.6,add_or_add_1__p97__wd0.1__lr0.001__d128__l2__tf0.5__nfull__fmta_op_b_eq,wd=0.1,no,
interesting_generalization_of_close,interesting_generalization_of_close/add_or_add_1_p97_wd1.0_lr0.001_d128_l2_tf0.5_ep5000.json,add_or_add_1_p97_wd1.0_lr0.001_d128_l2_tf0.5_ep5000.json,add_or_add_1,97,0.5,,a_op_b_eq,1.0,0.001,128,2,b_parity,odd,even,0.8728741407394409,0.8728741407394409,0.33078229427337646,5000,100,,,,97.5,add_or_add_1__p97__wd1.0__lr0.001__d128__l2__tf0.5__nfull__fmta_op_b_eq,default-like,yes,
