path,operation,p,rule_count,num_classes,branch_metric,branch_label_1,branch_label_2,last_log_epoch,train_acc_last,val_acc_last,train_acc_mean_logs,val_acc_mean_logs,train_branch1_last,train_branch2_last,val_branch1_last,val_branch2_last,macro_mean_over_rules_train,macro_mean_over_rules_val,micro_mean_over_rules_train,micro_mean_over_rules_val,rule0_macro_train_last,rule0_macro_val_last,rule0_micro_train_last,rule0_micro_val_last,rule1_macro_train_last,rule1_macro_val_last,rule1_micro_train_last,rule1_micro_val_last
!previous_results\categorical_2_rule_group_count\add_or_mul_p97_wd1.0_lr0.001_d128_l2_tf0.5_cat_c_ep5000.json,add_or_mul,97,1,97,b_parity,odd,even,5000,0.8735119104385376,0.2597236931324005,0.8580633446574211,0.25342400930821896,0.8792739510536194,0.8676659464836121,0.2592916488647461,0.2601323425769806,0.8746980412371134,0.2580524742268041,0.8735118707482992,0.2597236748140275,0.8746980412371134,0.2580524742268041,0.8735118707482992,0.2597236748140275,,,,
!previous_results\categorical_2_rule_group_count\add_or_mul_p97_wd1.0_lr0.001_d128_l2_tf0.5_cat_c_rc2_ep5000.json,add_or_mul,97,2,194,b_parity,odd,even,5000,0.8728741407394409,0.2597236931324005,0.856566741168499,0.24886078104376794,0.8809624314308167,0.864668071269989,0.2606034278869629,0.25889164209365845,0.8710926288659794,0.26077056701030926,0.8728152402309273,0.25974760963087296,0.880881237113402,0.26740536082474226,0.8809625918108906,0.2606032837778749,0.8613040206185567,0.25413577319587627,0.8646678886509638,0.258891935483871
!previous_results\categorical_2rule_lr_wd_test\add_or_mul_p97_wd0.1_lr0.0001_d128_l2_tf0.5_cat_c_rc2_ep3000.json,add_or_mul,97,2,194,b_parity,odd,even,3000,0.8728741407394409,0.2565355896949768,0.7887081806237499,0.22638326790183783,0.8809624314308167,0.864668071269989,0.2549191117286682,0.25806450843811035,0.8737535051546392,0.25713515463917525,0.8728154172750635,0.2564920106208609,0.8809978350515464,0.2617575257731959,0.8809629801604052,0.25491888062964574,0.866509175257732,0.25251278350515466,0.8646678543897218,0.25806514061207614
!previous_results\categorical_2rule_lr_wd_test\add_or_mul_p97_wd0.1_lr0.001_d128_l2_tf0.5_cat_c_rc2_ep3000.json,add_or_mul,97,2,194,b_parity,odd,even,3000,0.8728741407394409,0.2552603483200073,0.8634637092550596,0.25079701946427424,0.8699873685836792,0.8758029937744141,0.25317010283470154,0.25723740458488464,0.8715523195876289,0.25588257731958763,0.872895167441154,0.2552039659692302,0.8702122680412371,0.26004546391752575,0.8699875897002952,0.2531699956274595,0.8728923711340206,0.2517196907216495,0.875802745182013,0.25723793631100084
!previous_results\categorical_2rule_lr_wd_test\add_or_mul_p97_wd0.1_lr1.0_d128_l2_tf0.5_cat_c_rc2_ep3000.json,add_or_mul,97,2,194,b_parity,odd,even,3000,0.00446428544819355,0.00573857594281435,0.005119756182345251,0.005083244662576665,0.0,0.008993575349450111,0.0,0.011166253127157688,0.005154639175257732,0.005154639175257732,0.004496788008565311,0.005583126550868486,0.0,0.0,0.0,0.0,0.010309278350515464,0.010309278350515464,0.008993576017130621,0.011166253101736972
!previous_results\categorical_2rule_lr_wd_test\add_or_mul_p97_wd1.0_lr0.0001_d128_l2_tf0.5_cat_c_rc2_ep3000.json,add_or_mul,97,2,194,b_parity,odd,even,3000,0.8728741407394409,0.25632303953170776,0.7852713918934265,0.22472191614409287,0.8345293402671814,0.9117772579193115,0.2549191117286682,0.2576509416103363,0.8748615979381443,0.25700994845360825,0.8731535463250788,0.25628521256098136,0.8359644329896907,0.2618092783505155,0.8345296665259605,0.2549189156099693,0.913758762886598,0.252210618556701,0.911777426124197,0.2576515095119934
!previous_results\categorical_2rule_lr_wd_test\add_or_mul_p97_wd1.0_lr0.001_d128_l2_tf0.5_cat_c_rc2_ep3000.json,add_or_mul,97,2,194,b_parity,odd,even,3000,0.8728741407394409,0.2544102072715759,0.8553642178575198,0.24712008063991864,0.8602786064147949,0.8856530785560608,0.25317010283470154,0.25558313727378845,0.8724958247422681,0.25550840206185566,0.8729657906506508,0.2543768657700608,0.8603420618556701,0.2601115463917526,0.8602787547488393,0.25317002186270215,0.884649587628866,0.25090525773195876,0.8856528265524624,0.2555837096774194
!previous_results\categorical_2rule_lr_wd_test\add_or_mul_p97_wd1.0_lr1.0_d128_l2_tf0.5_cat_c_rc2_ep3000.json,add_or_mul,97,2,194,b_parity,odd,even,3000,0.015093537047505379,0.015727948397397995,0.01444160962322106,0.01500531293762227,0.0,0.030406851321458817,0.0,0.03060380555689335,0.005154639175257732,0.005154639175257732,0.015203426124197002,0.015301902398676593,0.0,0.0,0.0,0.0,0.010309278350515464,0.010309278350515464,0.030406852248394005,0.030603804797353185
!previous_results\categorical_2rule_lr_wd_test\add_or_mul_p97_wd2.0_lr0.0001_d128_l2_tf0.5_cat_c_rc2_ep3000.json,add_or_mul,97,2,194,b_parity,odd,even,3000,0.8728741407394409,0.25547289848327637,0.7804775964779158,0.22179241388415297,0.8915154337882996,0.8539614081382751,0.2536073625087738,0.25723740458488464,0.8718095360824742,0.25619742268041235,0.8727388400928121,0.2554225886189897,0.8930203092783505,0.26067515463917523,0.8915157872520051,0.25360724092697856,0.850598762886598,0.2517196907216495,0.8539618929336191,0.25723793631100084
!previous_results\categorical_2rule_lr_wd_test\add_or_mul_p97_wd2.0_lr0.001_d128_l2_tf0.5_cat_c_rc2_ep3000.json,add_or_mul,97,2,194,b_parity,odd,even,3000,0.8728741407394409,0.3302869200706482,0.8496881971756617,0.25418703000371656,0.875052809715271,0.8706637620925903,0.38696983456611633,0.27667495608329773,0.871768969072165,0.33296670103092785,0.8728582174862133,0.33182283815126534,0.8760359793814433,0.3934620618556701,0.8750530688054031,0.38697049846961085,0.8675019587628866,0.2724713402061856,0.8706633661670234,0.2766751778329199
